date,day,weight,water,exercise,breakfast,lunch,dinner,late_snack,note
"2026-03-26",81,84.7,1,"N","관리안함",,,"Y","야식: ￼"
"2026-03-27",82,85.9,1,"N","관리안함",,,"Y","야식: ￼"
"2026-03-28",83,,,,,,,,
"2026-03-29",84,85.9,,"Y","￼",,,,"운동: 관리안함"
"2026-03-30",85,85.9,,"Y","△",,,"Y","운동: 복구 / 야식: ￼"
"2026-03-31",86,85.5,35,"Y",,,,"Y","운동: 관리 복귀 완성 / 야식: ￼"
"2026-04-01",87,85.7,2.8,"N","완벽","절제","완벽","N","Hard"
"2026-04-02",88,84.8,2.7,"Y","완벽","완벽","완벽","N","운동: 자전거 30분 / Hard"
"2026-04-03",89,84.5,2.8,"Y","유지","완벽","완벽","Y","운동: 자전거 35분 / 야식: 닭가슴살 100g / ★최저 / Hard 종료"
"2026-04-04",90,83.7,1,"N","과식",,,"Y","야식: 와인 1병 + 안주 / ★최저"
"2026-04-05",91,84.5,1,"N","과식",,,"N","▲반등"
"2026-04-06",92,84.8,3,"Y","관리",,,"Y","운동: 자전거 35분 / 야식: 소량 / Hard Reset Mode"
"2026-04-07",93,84.2,3,"Y","고단백 안정식",,,"Y","운동: 자전거 35분 / 야식: 떡 4 + 배 2조각 / 복구 진행"
